Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Graugrün,"",,,Am Waldpark 27,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Graugrün,"",,,Werkstatt Rissen,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Graugrün,"",,,Lager Petra,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Hellgrün,"",,,Am Waldpark 27,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Hellgrün,"",,,Werkstatt Rissen,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Hellgrün,"",,,Lager Petra,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Dunkles Grün,"",,,Am Waldpark 27,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Dunkles Grün,"",,,Werkstatt Rissen,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Dunkles Grün,"",,,Lager Petra,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Helles Flieder,,,,Am Waldpark 27,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Helles Flieder,,,,Werkstatt Rissen,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Helles Flieder,,,,Lager Petra,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Beige,,,,Am Waldpark 27,,0,0,0,-1,-1,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Beige,,,,Werkstatt Rissen,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,weiß,Zahlenfarbe,Beige,,,,Lager Petra,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,blau,Zahlenfarbe,Hellblau,,,,Am Waldpark 27,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,blau,Zahlenfarbe,Hellblau,,,,Werkstatt Rissen,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,blau,Zahlenfarbe,Hellblau,,,,Lager Petra,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,blau,Zahlenfarbe,Dunkelblau,,,,Am Waldpark 27,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,blau,Zahlenfarbe,Dunkelblau,,,,Werkstatt Rissen,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,blau,Zahlenfarbe,Dunkelblau,,,,Lager Petra,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,blau,Zahlenfarbe,Hellgelb,,,,Am Waldpark 27,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,blau,Zahlenfarbe,Hellgelb,,,,Werkstatt Rissen,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,blau,Zahlenfarbe,Hellgelb,,,,Lager Petra,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,blau,Zahlenfarbe,Rosa,,,,Am Waldpark 27,,0,0,0,0,0,
geburtstagsset-einfarbig-ring-kerze-zahlenstecker,"Geburtstagsset - Einfarbig | Ring, Kerze & Zahlenstecker im Set (Farben wählbar)",Ringfarbe,Salbeigrün,Kerzenfarbe,blau,Zahlenfarbe,Rosa,,,,Werkstatt Rissen,,0,0,0,0,0,
